local_search,gaussian
4175809055,5038606998
5253436000,5253436000
7174749294,7491071825
4733524888,5130510441
4927400527,4968530209
4962120807,5176541439
4721609700,5157004241
4141137671,5226962278
6111682392,4379143192
4143627667,5358965731
4767713715,5150120938
4513291197,4622397565
3945140352,4558078476
5714112582,5790280383
5125652415,5362092136
7076846265,7158052010
9226991318,10751327035
4161589817,4935634952
4684318048,7387514895
4772711131,5066825383
5817111520,6128210805
5044820194,5920615556
4878974600,5840840683
5293724936,5624380669
4067042149,4205898828
5836027897,6117865596
4522141875,5574788053
4452763784,4539323427
4762990400,4755914606
4488196638,5209747537
