MU,selection,seed,best_historical_fitness,avg_best_fitness,std_fitness,avg_time,p-value
50,best,500,8073816192.0,8073816192.0,0.0,7.002868175506592,
50,best,501,8355079764.0,8214447978.0,140631786.0,6.570485353469849,0.9991595100193003
100,best,500,8073816192.0,8073816192.0,0.0,9.477139949798584,
100,best,501,8179604867.0,8126710529.5,52894337.5,9.450085520744324,0.9991595100193004
50,best,500,8073816192.0,8073816192.0,0.0,6.412813425064087,
50,best,501,8355079764.0,8214447978.0,140631786.0,6.256726980209351,0.9991595100193003
50,tournament,500,8073816192.0,8073816192.0,0.0,6.212789297103882,
50,tournament,501,8355079764.0,8214447978.0,140631786.0,6.228702902793884,0.9991595100193003
50,roulette,500,8073816192.0,8073816192.0,0.0,6.228626489639282,
50,roulette,501,8355079764.0,8214447978.0,140631786.0,6.117522239685059,0.9991595100193003
